,Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs,Region
8115,03/09/2023,Portiuncula University Hospital,2.0,0,2.0,3.0,6,,,HSE West and North West
8116,03/09/2023,Sligo University Hospital,5.0,19,24.0,12.0,8,10.0,,HSE West and North West
8118,04/09/2023,Beaumont Hospital,0.0,,0.0,0.0,13,,,HSE Dublin and North East
8119,04/09/2023,Cavan General Hospital,11.0,2,13.0,4.0,1,,1,HSE Dublin and North East
8120,04/09/2023,Connolly Hospital,0.0,,0.0,18.0,7,,,HSE Dublin and North East
8121,04/09/2023,Mater Misericordiae University Hospital,10.0,,10.0,0.0,19,3.0,,HSE Dublin and North East
8122,04/09/2023,Our Lady of Lourdes Hospital,17.0,1,18.0,15.0,1,,,HSE Dublin and North East
8123,04/09/2023,Our Lady's Hospital Navan,0.0,,0.0,0.0,3,,,HSE Dublin and North East
8124,04/09/2023,CHI at Crumlin,6.0,,6.0,,4,1.0,,HSE Dublin and Midlands
8125,04/09/2023,CHI at Tallaght,0.0,,0.0,,1,,,HSE Dublin and Midlands
8127,04/09/2023,CHI at Temple Street,1.0,7,8.0,,4,1.0,,HSE Dublin and Midlands
8128,04/09/2023,MRH Mullingar,12.0,0,12.0,2.0,2,,,HSE Dublin and Midlands
8129,04/09/2023,MRH Portlaoise,5.0,0,5.0,5.0,6,2.0,,HSE Dublin and Midlands
8130,04/09/2023,MRH Tullamore,0.0,0,0.0,17.0,5,,,HSE Dublin and Midlands
8131,04/09/2023,Naas General Hospital,10.0,7,17.0,0.0,9,6.0,4,HSE Dublin and Midlands
8132,04/09/2023,St. James's Hospital,40.0,0,40.0,0.0,62,10.0,,HSE Dublin and Midlands
8133,04/09/2023,Tallaght University Hospital,20.0,0,20.0,8.0,36,2.0,,HSE Dublin and Midlands
8134,04/09/2023,St Luke's General Hospital Kilkenny,8.0,0,8.0,17.0,8,,,HSE Dublin and South East
8135,04/09/2023,St. Vincent's University Hospital,10.0,0,10.0,22.0,44,,,HSE Dublin and South East
8136,04/09/2023,Tipperary University Hospital,21.0,,21.0,12.0,12,7.0,,HSE Dublin and South East
8138,04/09/2023,UH Waterford,0.0,,0.0,7.0,17,,,HSE Dublin and South East
8139,04/09/2023,Wexford General Hospital,3.0,5,8.0,6.0,7,,,HSE Dublin and South East
8140,04/09/2023,Cork University Hospital,22.0,16,38.0,18.0,49,8.0,8,HSE South West
8141,04/09/2023,Mercy University Hospital,18.0,0,18.0,8.0,27,10.0,,HSE South West
8142,04/09/2023,UH Kerry,10.0,0,10.0,15.0,25,1.0,,HSE South West
8143,04/09/2023,UH Limerick,29.0,35,64.0,54.0,9,12.0,,HSE Mid West
8144,04/09/2023,Galway University Hospital,4.0,2,6.0,21.0,30,,,HSE West and North West
8145,04/09/2023,Letterkenny University Hospital,14.0,8,22.0,19.0,30,6.0,,HSE West and North West
8147,04/09/2023,Mayo University Hospital,7.0,11,18.0,17.0,10,11.0,,HSE West and North West
8148,04/09/2023,Portiuncula University Hospital,1.0,0,1.0,4.0,6,,,HSE West and North West
8149,04/09/2023,Sligo University Hospital,18.0,20,38.0,12.0,8,21.0,,HSE West and North West
8151,05/09/2023,Beaumont Hospital,0.0,,0.0,0.0,12,,,HSE Dublin and North East
8152,05/09/2023,Cavan General Hospital,10.0,2,12.0,4.0,1,,,HSE Dublin and North East
8153,05/09/2023,Connolly Hospital,4.0,0,4.0,15.0,7,,,HSE Dublin and North East
8154,05/09/2023,Mater Misericordiae University Hospital,21.0,,21.0,0.0,19,,,HSE Dublin and North East
8155,05/09/2023,Our Lady of Lourdes Hospital,5.0,1,6.0,14.0,1,,,HSE Dublin and North East
8156,05/09/2023,Our Lady's Hospital Navan,3.0,,3.0,0.0,3,,,HSE Dublin and North East
8157,05/09/2023,CHI at Crumlin,1.0,,1.0,,4,,,HSE Dublin and Midlands
8158,05/09/2023,CHI at Tallaght,0.0,,0.0,,1,,,HSE Dublin and Midlands
8160,05/09/2023,CHI at Temple Street,0.0,9,9.0,,4,1.0,,HSE Dublin and Midlands
8161,05/09/2023,MRH Mullingar,7.0,0,7.0,1.0,1,1.0,1,HSE Dublin and Midlands
8162,05/09/2023,MRH Portlaoise,5.0,,5.0,0.0,7,,,HSE Dublin and Midlands
8163,05/09/2023,MRH Tullamore,0.0,0,0.0,13.0,4,,,HSE Dublin and Midlands
8164,05/09/2023,Naas General Hospital,10.0,1,11.0,1.0,12,,,HSE Dublin and Midlands
8165,05/09/2023,St. James's Hospital,30.0,0,30.0,0.0,57,8.0,,HSE Dublin and Midlands
8166,05/09/2023,Tallaght University Hospital,19.0,0,19.0,8.0,35,6.0,,HSE Dublin and Midlands
8167,05/09/2023,St Luke's General Hospital Kilkenny,8.0,3,11.0,24.0,8,,,HSE Dublin and South East
8168,05/09/2023,St. Vincent's University Hospital,12.0,0,12.0,21.0,42,,,HSE Dublin and South East
8169,05/09/2023,Tipperary University Hospital,18.0,,18.0,11.0,12,6.0,,HSE Dublin and South East
8171,05/09/2023,UH Waterford,0.0,0,0.0,2.0,13,,,HSE Dublin and South East
8172,05/09/2023,Wexford General Hospital,3.0,7,10.0,4.0,7,,,HSE Dublin and South East
8173,05/09/2023,Cork University Hospital,25.0,11,36.0,23.0,45,4.0,6,HSE South West
8174,05/09/2023,Mercy University Hospital,18.0,0,18.0,8.0,34,3.0,1,HSE South West
8175,05/09/2023,UH Kerry,21.0,0,21.0,12.0,27,4.0,2,HSE South West
8176,05/09/2023,UH Limerick,24.0,34,58.0,31.0,9,14.0,,HSE Mid West
8177,05/09/2023,Galway University Hospital,21.0,7,28.0,21.0,30,,1,HSE West and North West
8178,05/09/2023,Letterkenny University Hospital,7.0,4,11.0,10.0,23,2.0,,HSE West and North West
8180,05/09/2023,Mayo University Hospital,6.0,8,14.0,16.0,10,6.0,,HSE West and North West
8181,05/09/2023,Portiuncula University Hospital,10.0,0,10.0,5.0,6,,,HSE West and North West
8182,05/09/2023,Sligo University Hospital,22.0,21,43.0,12.0,8,15.0,,HSE West and North West
8184,06/09/2023,Beaumont Hospital,0.0,,0.0,0.0,16,,,HSE Dublin and North East
8185,06/09/2023,Cavan General Hospital,9.0,0,9.0,5.0,1,,,HSE Dublin and North East
8186,06/09/2023,Connolly Hospital,0.0,0,0.0,6.0,6,,,HSE Dublin and North East
8187,06/09/2023,Mater Misericordiae University Hospital,15.0,,15.0,0.0,16,2.0,,HSE Dublin and North East
8188,06/09/2023,Our Lady of Lourdes Hospital,5.0,0,5.0,8.0,1,,,HSE Dublin and North East
8189,06/09/2023,Our Lady's Hospital Navan,1.0,0,1.0,0.0,3,,,HSE Dublin and North East
8190,06/09/2023,CHI at Crumlin,8.0,,8.0,,4,,,HSE Dublin and Midlands
8191,06/09/2023,CHI at Tallaght,0.0,,0.0,,2,,,HSE Dublin and Midlands
8193,06/09/2023,CHI at Temple Street,5.0,,5.0,,4,2.0,,HSE Dublin and Midlands
8194,06/09/2023,MRH Mullingar,12.0,0,12.0,0.0,1,,,HSE Dublin and Midlands
8195,06/09/2023,MRH Portlaoise,4.0,,4.0,0.0,8,,,HSE Dublin and Midlands
8196,06/09/2023,MRH Tullamore,0.0,0,0.0,13.0,3,,,HSE Dublin and Midlands
8197,06/09/2023,Naas General Hospital,3.0,0,3.0,0.0,13,,,HSE Dublin and Midlands
8198,06/09/2023,St. James's Hospital,20.0,0,20.0,0.0,60,,,HSE Dublin and Midlands
8199,06/09/2023,Tallaght University Hospital,17.0,0,17.0,14.0,41,4.0,,HSE Dublin and Midlands
8200,06/09/2023,St Luke's General Hospital Kilkenny,0.0,5,5.0,20.0,8,,,HSE Dublin and South East
8201,06/09/2023,St. Vincent's University Hospital,22.0,0,22.0,22.0,45,,,HSE Dublin and South East
8202,06/09/2023,Tipperary University Hospital,14.0,0,14.0,12.0,10,5.0,,HSE Dublin and South East
8204,06/09/2023,UH Waterford,0.0,0,0.0,8.0,13,,,HSE Dublin and South East
8205,06/09/2023,Wexford General Hospital,5.0,4,9.0,4.0,7,3.0,,HSE Dublin and South East
8206,06/09/2023,Cork University Hospital,26.0,13,39.0,25.0,43,6.0,8,HSE South West
8207,06/09/2023,Mercy University Hospital,30.0,0,30.0,0.0,34,5.0,1,HSE South West
8208,06/09/2023,UH Kerry,19.0,0,19.0,13.0,27,3.0,1,HSE South West
8209,06/09/2023,UH Limerick,18.0,34,52.0,50.0,13,11.0,,HSE Mid West
8210,06/09/2023,Galway University Hospital,8.0,7,15.0,20.0,29,,,HSE West and North West
8211,06/09/2023,Letterkenny University Hospital,9.0,,9.0,10.0,20,2.0,,HSE West and North West
8213,06/09/2023,Mayo University Hospital,3.0,10,13.0,12.0,8,7.0,,HSE West and North West
8214,06/09/2023,Portiuncula University Hospital,8.0,0,8.0,6.0,6,2.0,1,HSE West and North West
8215,06/09/2023,Sligo University Hospital,14.0,21,35.0,12.0,11,11.0,,HSE West and North West
8217,07/09/2023,Beaumont Hospital,0.0,,0.0,0.0,13,,,HSE Dublin and North East
8218,07/09/2023,Cavan General Hospital,12.0,,12.0,0.0,1,2.0,1,HSE Dublin and North East
8219,07/09/2023,Connolly Hospital,0.0,0,0.0,0.0,6,,,HSE Dublin and North East
8220,07/09/2023,Mater Misericordiae University Hospital,7.0,,7.0,0.0,16,,,HSE Dublin and North East
8221,07/09/2023,Our Lady of Lourdes Hospital,3.0,1,4.0,10.0,1,,,HSE Dublin and North East
8222,07/09/2023,Our Lady's Hospital Navan,4.0,,4.0,0.0,3,,,HSE Dublin and North East
8223,07/09/2023,CHI at Crumlin,0.0,,0.0,,4,,,HSE Dublin and Midlands
8224,07/09/2023,CHI at Tallaght,0.0,,0.0,,2,,,HSE Dublin and Midlands
8226,07/09/2023,CHI at Temple Street,0.0,5,5.0,,4,2.0,,HSE Dublin and Midlands
8227,07/09/2023,MRH Mullingar,13.0,,13.0,1.0,1,,,HSE Dublin and Midlands
8228,07/09/2023,MRH Portlaoise,0.0,0,0.0,0.0,8,,,HSE Dublin and Midlands
8229,07/09/2023,MRH Tullamore,0.0,,0.0,12.0,3,,,HSE Dublin and Midlands
8230,07/09/2023,Naas General Hospital,2.0,0,2.0,0.0,14,,,HSE Dublin and Midlands
8231,07/09/2023,St. James's Hospital,20.0,0,20.0,0.0,57,,,HSE Dublin and Midlands
8232,07/09/2023,Tallaght University Hospital,21.0,6,27.0,14.0,40,5.0,,HSE Dublin and Midlands
8233,07/09/2023,St Luke's General Hospital Kilkenny,4.0,2,6.0,16.0,7,,,HSE Dublin and South East
8234,07/09/2023,St. Vincent's University Hospital,10.0,0,10.0,22.0,49,,,HSE Dublin and South East
8235,07/09/2023,Tipperary University Hospital,3.0,0,3.0,12.0,12,,,HSE Dublin and South East
8237,07/09/2023,UH Waterford,0.0,0,0.0,5.0,11,,,HSE Dublin and South East
8238,07/09/2023,Wexford General Hospital,2.0,,2.0,0.0,8,,,HSE Dublin and South East
8239,07/09/2023,Cork University Hospital,27.0,2,29.0,16.0,46,6.0,2,HSE South West
8240,07/09/2023,Mercy University Hospital,28.0,,28.0,8.0,31,5.0,1,HSE South West
8241,07/09/2023,UH Kerry,17.0,,17.0,11.0,24,3.0,3,HSE South West
8242,07/09/2023,UH Limerick,24.0,36,60.0,26.0,11,10.0,,HSE Mid West
8243,07/09/2023,Galway University Hospital,18.0,6,24.0,25.0,28,3.0,,HSE West and North West
8244,07/09/2023,Letterkenny University Hospital,4.0,8,12.0,19.0,24,4.0,,HSE West and North West
8246,07/09/2023,Mayo University Hospital,4.0,5,9.0,12.0,7,3.0,,HSE West and North West
8247,07/09/2023,Portiuncula University Hospital,8.0,0,8.0,5.0,5,3.0,,HSE West and North West
8248,07/09/2023,Sligo University Hospital,17.0,20,37.0,13.0,12,12.0,,HSE West and North West
8250,08/09/2023,Beaumont Hospital,0.0,,0.0,0.0,14,,,HSE Dublin and North East
8251,08/09/2023,Cavan General Hospital,4.0,,4.0,0.0,1,,,HSE Dublin and North East
8252,08/09/2023,Connolly Hospital,0.0,0,0.0,0.0,6,,,HSE Dublin and North East
8253,08/09/2023,Mater Misericordiae University Hospital,5.0,,5.0,0.0,16,,,HSE Dublin and North East
8254,08/09/2023,Our Lady of Lourdes Hospital,3.0,0,3.0,6.0,1,,,HSE Dublin and North East
8255,08/09/2023,Our Lady's Hospital Navan,5.0,,5.0,4.0,3,,,HSE Dublin and North East
8256,08/09/2023,CHI at Crumlin,2.0,,2.0,,4,,,HSE Dublin and Midlands
8257,08/09/2023,CHI at Tallaght,0.0,,0.0,,2,,,HSE Dublin and Midlands
8259,08/09/2023,CHI at Temple Street,0.0,5,5.0,,4,1.0,,HSE Dublin and Midlands
8260,08/09/2023,MRH Mullingar,15.0,0,15.0,0.0,1,,,HSE Dublin and Midlands
8261,08/09/2023,MRH Portlaoise,0.0,0,0.0,0.0,7,,,HSE Dublin and Midlands
8262,08/09/2023,MRH Tullamore,0.0,0,0.0,7.0,5,,,HSE Dublin and Midlands
8263,08/09/2023,Naas General Hospital,3.0,0,3.0,0.0,12,,,HSE Dublin and Midlands
8264,08/09/2023,St. James's Hospital,18.0,0,18.0,0.0,55,6.0,,HSE Dublin and Midlands
8265,08/09/2023,Tallaght University Hospital,23.0,0,23.0,20.0,40,4.0,,HSE Dublin and Midlands
8266,08/09/2023,St Luke's General Hospital Kilkenny,2.0,0,2.0,22.0,6,,,HSE Dublin and South East
8267,08/09/2023,St. Vincent's University Hospital,6.0,0,6.0,22.0,46,,,HSE Dublin and South East
8268,08/09/2023,Tipperary University Hospital,9.0,,9.0,13.0,11,2.0,,HSE Dublin and South East
8270,08/09/2023,UH Waterford,0.0,0,0.0,5.0,15,,,HSE Dublin and South East
8271,08/09/2023,Wexford General Hospital,2.0,2,4.0,0.0,8,,,HSE Dublin and South East
8272,08/09/2023,Cork University Hospital,18.0,4,22.0,11.0,49,3.0,2,HSE South West
8273,08/09/2023,Mercy University Hospital,26.0,,26.0,8.0,30,6.0,3,HSE South West
8274,08/09/2023,UH Kerry,16.0,0,16.0,12.0,24,4.0,,HSE South West
8275,08/09/2023,UH Limerick,24.0,31,55.0,38.0,10,9.0,,HSE Mid West
8276,08/09/2023,Galway University Hospital,23.0,6,29.0,20.0,30,,,HSE West and North West
8277,08/09/2023,Letterkenny University Hospital,2.0,4,6.0,15.0,29,2.0,,HSE West and North West
8279,08/09/2023,Mayo University Hospital,5.0,8,13.0,6.0,7,2.0,,HSE West and North West
8280,08/09/2023,Portiuncula University Hospital,17.0,0,17.0,4.0,5,3.0,,HSE West and North West
8281,08/09/2023,Sligo University Hospital,12.0,19,31.0,12.0,13,16.0,,HSE West and North West
8283,09/09/2023,Beaumont Hospital,0.0,0,0.0,0.0,12,,,HSE Dublin and North East
8284,09/09/2023,Cavan General Hospital,0.0,2,2.0,0.0,1,,,HSE Dublin and North East
8285,09/09/2023,Connolly Hospital,0.0,0,0.0,0.0,6,,,HSE Dublin and North East
8286,09/09/2023,Mater Misericordiae University Hospital,3.0,,3.0,0.0,14,,,HSE Dublin and North East
8287,09/09/2023,Our Lady of Lourdes Hospital,0.0,0,0.0,4.0,1,,,HSE Dublin and North East
8288,09/09/2023,Our Lady's Hospital Navan,2.0,,2.0,4.0,2,,,HSE Dublin and North East
8289,09/09/2023,CHI at Crumlin,1.0,,1.0,,4,,,HSE Dublin and Midlands
8290,09/09/2023,CHI at Tallaght,0.0,,0.0,,2,,,HSE Dublin and Midlands
8292,09/09/2023,CHI at Temple Street,4.0,,4.0,,4,,,HSE Dublin and Midlands
8293,09/09/2023,MRH Mullingar,4.0,0,4.0,0.0,1,,,HSE Dublin and Midlands
8294,09/09/2023,MRH Portlaoise,6.0,0,6.0,0.0,7,,,HSE Dublin and Midlands
8295,09/09/2023,MRH Tullamore,0.0,0,0.0,0.0,5,,,HSE Dublin and Midlands
8296,09/09/2023,Naas General Hospital,1.0,0,1.0,0.0,11,,,HSE Dublin and Midlands
8297,09/09/2023,St. James's Hospital,7.0,0,7.0,0.0,59,,,HSE Dublin and Midlands
8298,09/09/2023,Tallaght University Hospital,30.0,0,30.0,8.0,39,8.0,2,HSE Dublin and Midlands
8299,09/09/2023,St Luke's General Hospital Kilkenny,0.0,0,0.0,14.0,6,,,HSE Dublin and South East
8300,09/09/2023,St. Vincent's University Hospital,5.0,0,5.0,21.0,46,,,HSE Dublin and South East
8301,09/09/2023,Tipperary University Hospital,7.0,0,7.0,15.0,12,3.0,,HSE Dublin and South East
8303,09/09/2023,UH Waterford,0.0,0,0.0,1.0,14,,,HSE Dublin and South East
8304,09/09/2023,Wexford General Hospital,2.0,,2.0,0.0,8,,,HSE Dublin and South East
8305,09/09/2023,Cork University Hospital,8.0,0,8.0,13.0,59,,1,HSE South West
8306,09/09/2023,Mercy University Hospital,8.0,0,8.0,8.0,26,5.0,1,HSE South West
8307,09/09/2023,UH Kerry,14.0,0,14.0,13.0,24,,,HSE South West
8308,09/09/2023,UH Limerick,17.0,34,51.0,38.0,10,3.0,,HSE Mid West
8309,09/09/2023,Galway University Hospital,20.0,3,23.0,22.0,31,1.0,2,HSE West and North West
8310,09/09/2023,Letterkenny University Hospital,3.0,,3.0,0.0,31,,,HSE West and North West
8312,09/09/2023,Mayo University Hospital,4.0,6,10.0,0.0,12,2.0,7,HSE West and North West
8313,09/09/2023,Portiuncula University Hospital,10.0,0,10.0,0.0,4,,,HSE West and North West
8314,09/09/2023,Sligo University Hospital,18.0,,18.0,10.0,13,7.0,,HSE West and North West
8316,10/09/2023,Beaumont Hospital,0.0,0,0.0,0.0,12,,,HSE Dublin and North East
8317,10/09/2023,Cavan General Hospital,7.0,,7.0,7.0,1,,,HSE Dublin and North East
8318,10/09/2023,Connolly Hospital,0.0,0,0.0,0.0,6,,,HSE Dublin and North East
8319,10/09/2023,Mater Misericordiae University Hospital,7.0,,7.0,0.0,14,,,HSE Dublin and North East
8320,10/09/2023,Our Lady of Lourdes Hospital,4.0,1,5.0,5.0,1,,,HSE Dublin and North East
8321,10/09/2023,Our Lady's Hospital Navan,0.0,,0.0,6.0,2,,,HSE Dublin and North East
8322,10/09/2023,CHI at Crumlin,3.0,,3.0,,4,,,HSE Dublin and Midlands
8323,10/09/2023,CHI at Tallaght,2.0,,2.0,,2,,,HSE Dublin and Midlands
8325,10/09/2023,CHI at Temple Street,0.0,,0.0,,4,,,HSE Dublin and Midlands
8326,10/09/2023,MRH Mullingar,5.0,0,5.0,0.0,1,1.0,,HSE Dublin and Midlands
8327,10/09/2023,MRH Portlaoise,7.0,0,7.0,0.0,7,,,HSE Dublin and Midlands
8328,10/09/2023,MRH Tullamore,0.0,0,0.0,0.0,5,,,HSE Dublin and Midlands
8329,10/09/2023,Naas General Hospital,3.0,0,3.0,0.0,11,2.0,,HSE Dublin and Midlands
8330,10/09/2023,St. James's Hospital,2.0,0,2.0,0.0,59,,,HSE Dublin and Midlands
8331,10/09/2023,Tallaght University Hospital,39.0,0,39.0,8.0,39,10.0,1,HSE Dublin and Midlands
8332,10/09/2023,St Luke's General Hospital Kilkenny,1.0,3,4.0,21.0,6,,,HSE Dublin and South East
8333,10/09/2023,St. Vincent's University Hospital,11.0,0,11.0,21.0,46,,,HSE Dublin and South East
8334,10/09/2023,Tipperary University Hospital,0.0,,0.0,0.0,12,,,HSE Dublin and South East
8336,10/09/2023,UH Waterford,0.0,0,0.0,0.0,14,,,HSE Dublin and South East
8337,10/09/2023,Wexford General Hospital,3.0,0,3.0,3.0,8,,,HSE Dublin and South East
8338,10/09/2023,Cork University Hospital,12.0,0,12.0,12.0,59,,1,HSE South West
8339,10/09/2023,Mercy University Hospital,11.0,0,11.0,8.0,26,2.0,,HSE South West
8340,10/09/2023,UH Kerry,21.0,0,21.0,14.0,24,4.0,1,HSE South West
8341,10/09/2023,UH Limerick,28.0,37,65.0,47.0,10,7.0,1,HSE Mid West
8342,10/09/2023,Galway University Hospital,16.0,1,17.0,4.0,31,,,HSE West and North West
8343,10/09/2023,Letterkenny University Hospital,5.0,5,10.0,0.0,31,,,HSE West and North West
8345,10/09/2023,Mayo University Hospital,10.0,9,19.0,0.0,12,8.0,,HSE West and North West
8346,10/09/2023,Portiuncula University Hospital,8.0,5,13.0,5.0,4,3.0,,HSE West and North West
8347,10/09/2023,Sligo University Hospital,22.0,,22.0,12.0,13,12.0,,HSE West and North West
8349,11/09/2023,Beaumont Hospital,0.0,,0.0,0.0,12,,,HSE Dublin and North East
8350,11/09/2023,Cavan General Hospital,9.0,,9.0,7.0,1,,3,HSE Dublin and North East
8351,11/09/2023,Connolly Hospital,0.0,0,0.0,5.0,6,,,HSE Dublin and North East
8352,11/09/2023,Mater Misericordiae University Hospital,26.0,,26.0,0.0,14,1.0,,HSE Dublin and North East
8353,11/09/2023,Our Lady of Lourdes Hospital,3.0,1,4.0,11.0,1,,,HSE Dublin and North East
8354,11/09/2023,Our Lady's Hospital Navan,1.0,0,1.0,12.0,2,,,HSE Dublin and North East
8355,11/09/2023,CHI at Crumlin,3.0,,3.0,,4,,,HSE Dublin and Midlands
8356,11/09/2023,CHI at Tallaght,2.0,,2.0,,2,,,HSE Dublin and Midlands
8358,11/09/2023,CHI at Temple Street,2.0,2,4.0,,4,,,HSE Dublin and Midlands
8359,11/09/2023,MRH Mullingar,11.0,0,11.0,1.0,1,1.0,3,HSE Dublin and Midlands
8360,11/09/2023,MRH Portlaoise,9.0,,9.0,0.0,7,,,HSE Dublin and Midlands
8361,11/09/2023,MRH Tullamore,0.0,0,0.0,2.0,5,,,HSE Dublin and Midlands
8362,11/09/2023,Naas General Hospital,12.0,2,14.0,0.0,11,2.0,,HSE Dublin and Midlands
8363,11/09/2023,St. James's Hospital,8.0,0,8.0,0.0,59,,,HSE Dublin and Midlands
8364,11/09/2023,Tallaght University Hospital,30.0,0,30.0,16.0,46,15.0,,HSE Dublin and Midlands
8365,11/09/2023,St Luke's General Hospital Kilkenny,11.0,6,17.0,46.0,6,2.0,,HSE Dublin and South East
8366,11/09/2023,St. Vincent's University Hospital,11.0,0,11.0,22.0,46,4.0,1,HSE Dublin and South East
8367,11/09/2023,Tipperary University Hospital,1.0,0,1.0,12.0,12,,,HSE Dublin and South East
8369,11/09/2023,UH Waterford,0.0,0,0.0,0.0,14,,,HSE Dublin and South East
8370,11/09/2023,Wexford General Hospital,0.0,10,10.0,5.0,8,,,HSE Dublin and South East
8371,11/09/2023,Cork University Hospital,17.0,1,18.0,16.0,59,2.0,1,HSE South West
8372,11/09/2023,Mercy University Hospital,16.0,0,16.0,8.0,26,7.0,1,HSE South West
8373,11/09/2023,UH Kerry,20.0,0,20.0,14.0,24,11.0,4,HSE South West
8374,11/09/2023,UH Limerick,31.0,40,71.0,44.0,12,14.0,,HSE Mid West
8375,11/09/2023,Galway University Hospital,27.0,4,31.0,22.0,31,4.0,,HSE West and North West
8376,11/09/2023,Letterkenny University Hospital,12.0,8,20.0,10.0,31,2.0,,HSE West and North West
8378,11/09/2023,Mayo University Hospital,6.0,9,15.0,6.0,12,5.0,,HSE West and North West
8379,11/09/2023,Portiuncula University Hospital,19.0,0,19.0,10.0,4,7.0,1,HSE West and North West
8380,11/09/2023,Sligo University Hospital,13.0,21,34.0,13.0,13,15.0,4,HSE West and North West
8382,12/09/2023,Beaumont Hospital,0.0,,0.0,0.0,8,,,HSE Dublin and North East
8383,12/09/2023,Cavan General Hospital,0.0,2,2.0,1.0,1,,,HSE Dublin and North East
8384,12/09/2023,Connolly Hospital,0.0,0,0.0,14.0,5,,,HSE Dublin and North East
8385,12/09/2023,Mater Misericordiae University Hospital,23.0,,23.0,0.0,14,4.0,,HSE Dublin and North East
8386,12/09/2023,Our Lady of Lourdes Hospital,6.0,1,7.0,10.0,1,,,HSE Dublin and North East
8387,12/09/2023,Our Lady's Hospital Navan,5.0,0,5.0,7.0,2,,,HSE Dublin and North East
8388,12/09/2023,CHI at Crumlin,2.0,,2.0,,4,,,HSE Dublin and Midlands
8389,12/09/2023,CHI at Tallaght,1.0,,1.0,,2,,,HSE Dublin and Midlands
8391,12/09/2023,CHI at Temple Street,0.0,8,8.0,,4,,,HSE Dublin and Midlands
8392,12/09/2023,MRH Mullingar,6.0,0,6.0,0.0,1,,,HSE Dublin and Midlands
8393,12/09/2023,MRH Portlaoise,9.0,0,9.0,10.0,7,,,HSE Dublin and Midlands
8394,12/09/2023,MRH Tullamore,0.0,0,0.0,0.0,5,,,HSE Dublin and Midlands
8395,12/09/2023,Naas General Hospital,10.0,4,14.0,0.0,14,2.0,,HSE Dublin and Midlands
8396,12/09/2023,St. James's Hospital,10.0,0,10.0,0.0,57,,,HSE Dublin and Midlands
8397,12/09/2023,Tallaght University Hospital,25.0,0,25.0,16.0,43,7.0,,HSE Dublin and Midlands
8398,12/09/2023,St Luke's General Hospital Kilkenny,11.0,4,15.0,30.0,10,2.0,,HSE Dublin and South East
8399,12/09/2023,St. Vincent's University Hospital,9.0,0,9.0,21.0,46,,,HSE Dublin and South East
8400,12/09/2023,Tipperary University Hospital,8.0,0,8.0,15.0,9,,,HSE Dublin and South East
8402,12/09/2023,UH Waterford,0.0,0,0.0,0.0,14,,,HSE Dublin and South East
8403,12/09/2023,Wexford General Hospital,13.0,0,13.0,0.0,7,1.0,,HSE Dublin and South East
8404,12/09/2023,Cork University Hospital,26.0,7,33.0,26.0,51,,,HSE South West
8405,12/09/2023,Mercy University Hospital,10.0,,10.0,6.0,25,5.0,,HSE South West
8406,12/09/2023,UH Kerry,21.0,0,21.0,11.0,24,2.0,2,HSE South West
8407,12/09/2023,UH Limerick,26.0,43,69.0,54.0,12,7.0,,HSE Mid West
8408,12/09/2023,Galway University Hospital,19.0,10,29.0,21.0,27,4.0,,HSE West and North West
8409,12/09/2023,Letterkenny University Hospital,10.0,5,15.0,15.0,31,4.0,,HSE West and North West
8411,12/09/2023,Mayo University Hospital,4.0,10,14.0,4.0,13,7.0,,HSE West and North West
8412,12/09/2023,Portiuncula University Hospital,20.0,0,20.0,13.0,4,4.0,,HSE West and North West
8413,12/09/2023,Sligo University Hospital,-3.0,15,12.0,13.0,14,,,HSE West and North West
8415,13/09/2023,Beaumont Hospital,0.0,,0.0,0.0,5,,,HSE Dublin and North East
8416,13/09/2023,Cavan General Hospital,0.0,0,0.0,0.0,1,,,HSE Dublin and North East
8417,13/09/2023,Connolly Hospital,0.0,0,0.0,14.0,5,,,HSE Dublin and North East
8418,13/09/2023,Mater Misericordiae University Hospital,18.0,,18.0,0.0,10,2.0,,HSE Dublin and North East
8419,13/09/2023,Our Lady of Lourdes Hospital,3.0,,3.0,5.0,1,,,HSE Dublin and North East
8420,13/09/2023,Our Lady's Hospital Navan,0.0,0,0.0,6.0,3,,,HSE Dublin and North East
8421,13/09/2023,CHI at Crumlin,1.0,,1.0,,4,,,HSE Dublin and Midlands
8422,13/09/2023,CHI at Tallaght,0.0,,0.0,,2,,,HSE Dublin and Midlands
8424,13/09/2023,CHI at Temple Street,3.0,,3.0,,5,1.0,,HSE Dublin and Midlands
8425,13/09/2023,MRH Mullingar,8.0,0,8.0,0.0,1,,,HSE Dublin and Midlands
8426,13/09/2023,MRH Portlaoise,2.0,0,2.0,0.0,7,,,HSE Dublin and Midlands
8427,13/09/2023,MRH Tullamore,0.0,0,0.0,0.0,5,,,HSE Dublin and Midlands
8428,13/09/2023,Naas General Hospital,8.0,0,8.0,0.0,15,,,HSE Dublin and Midlands
8429,13/09/2023,St. James's Hospital,26.0,0,26.0,0.0,57,1.0,,HSE Dublin and Midlands
8430,13/09/2023,Tallaght University Hospital,27.0,,27.0,16.0,38,7.0,,HSE Dublin and Midlands
